Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Group
CCBL2,2.308279172,1.541559818,0.675549111,2.281935973,0.022493121,0.049981294,AD
AL513550.1,0.883105035,1.900756146,0.652153892,2.914582232,0.00356165,0.04996419,COVID-19
MEN1,1.429190359,1.035985054,0.372241495,2.783099327,0.005384232,0.049944218,LBD
RP11-119B16.2,0.304675323,1.857232968,0.8135154,2.282972108,0.022432011,0.049883416,AD
ATN1,6.136971697,1.240901904,0.44442662,2.792141265,0.005236049,0.049834663,MS
AL512625.3,1.004801159,2.187237774,0.749793383,2.917120668,0.003532791,0.049719347,COVID-19
ST14,2.78255317,1.730538347,0.61956824,2.793135987,0.005219974,0.049714702,MS
ITGB5-AS1,2.794047115,2.263714106,0.825271422,2.74299345,0.00608819,0.049702244,Epilepsy
SOD2,12.25638521,1.058091804,0.463112276,2.284741431,0.022327994,0.049689898,AD
CHRM3,4.588203807,1.725994317,0.591365198,2.918660622,0.003515387,0.049682632,COVID-19
C5orf28,1.964641439,1.57167539,0.687711854,2.285369054,0.022291197,0.049615562,AD
MED30,2.367754809,1.459987643,0.522508038,2.794191739,0.005202962,0.049585646,MS
RAB7B,0.487256001,3.282728445,1.174748136,2.794410431,0.005199444,0.049585112,MS
FAM195B,3.70275699,1.661011029,0.726610792,2.285970767,0.022255969,0.04955224,AD
ING3,3.621728952,1.299040021,0.3881255,3.346958708,0.000817034,0.049493475,ASD
RP11-815J21.4,1.867589834,2.54187602,1.111668311,2.286541764,0.022222584,0.049485446,AD
CTC-444N24.11,3.555293527,1.562437546,0.683275239,2.286688375,0.022214019,0.049473909,AD
LRP1B,22.43337588,2.047525486,0.700325681,2.923676144,0.003459244,0.049389653,COVID-19
AMBRA1,19.74785218,1.176947481,0.402604431,2.923334647,0.003463041,0.049389653,COVID-19
THSD4,1.539369297,2.512532957,0.898517856,2.796308319,0.005169006,0.049327679,MS
USP2,0.703125978,2.229444772,0.797167897,2.796706666,0.005162638,0.049306053,MS
BTBD3,5.367460162,1.341361012,0.479628712,2.796665375,0.005163298,0.049306053,MS
ADAM12,1.14295524,2.33927842,0.836271735,2.797270697,0.005153633,0.04927947,MS
ZNF576,0.683865547,2.32717693,1.016445024,2.289525627,0.022048831,0.049156688,AD
C9orf84,6.840662062,1.760763012,0.631184956,2.789614986,0.005277075,0.049106025,LBD
TMEM55A,3.548903786,1.545936401,0.674888168,2.290655658,0.021983337,0.049042333,AD
SGCE,2.316934605,1.334970762,0.478325348,2.79092623,0.005255745,0.048969876,LBD
